Plot_Name,Location_Type,Species_Richness,Total_Detections,Avg_Temperature,Avg_Humidity,Avg_Start_Hour,Avg_Duration,Watchlist_Rate,Flyover_Rate,Visits
ANTI-0169,Grassland,15,31,23.04516103190758,78.67742033927671,7.225806451612903,10.0,0.03225806451612903,0.0,3
ANTI-0170,Grassland,21,46,22.417391155077073,79.29565263831097,7.304347826086956,10.0,0.021739130434782608,0.021739130434782608,3
ANTI-0171,Grassland,20,31,22.638708914479853,79.93871184318294,7.193548387096774,10.0,0.03225806451612903,0.06451612903225806,3
ANTI-0174,Grassland,20,50,28.312000427246065,53.29199951171875,9.0,10.0,0.0,0.06,3
ANTI-0180,Grassland,13,28,29.214285373687773,45.57499899182998,9.285714285714286,10.0,0.0,0.25,3
ANTI-0181,Grassland,15,32,28.803125083446496,50.80000030994413,9.34375,10.0,0.0,0.0625,3
ANTI-0182,Grassland,18,46,29.20000014097793,50.86956546617589,8.978260869565217,10.0,0.0,0.0,3
ANTI-0183,Grassland,21,47,26.69361731346619,59.4553185320915,8.872340425531915,10.0,0.0,0.0851063829787234,3
ANTI-0184,Grassland,21,52,23.05769227101253,67.0942310186533,6.903846153846154,10.0,0.0,0.11538461538461539,3
ANTI-0188,Grassland,17,72,30.066667238871293,58.10833295186361,9.527777777777779,10.0,0.0,0.16666666666666666,3
ANTI-0189,Grassland,19,36,28.958333015441895,56.03333367241753,9.222222222222221,10.0,0.0,0.1111111111111111,3
ANTI-0190,Forest,19,26,24.76153769859896,59.92307780339168,8.0,10.0,0.0,0.038461538461538464,2
ANTI-0191,Grassland,17,36,24.769444783528666,68.54166793823242,7.805555555555555,10.0,0.0,0.027777777777777776,3
ANTI-0192,Grassland,19,43,24.23023321462233,65.95813839934593,7.674418604651163,10.0,0.0,0.046511627906976744,3
ANTI-0194,Forest,13,19,24.34736813996964,62.11052784166838,8.263157894736842,10.0,0.05263157894736842,0.0,2
ANTI-0199,Grassland,20,46,24.2413045219753,69.11521878449813,8.08695652173913,10.0,0.043478260869565216,0.021739130434782608,3
ANTI-0200,Forest,15,21,19.576190766834095,81.72381083170572,7.761904761904762,10.0,0.0,0.0,2
ANTI-0201,Forest,19,29,19.775862003194906,74.89655290800951,7.793103448275862,10.0,0.034482758620689655,0.0,2
ANTI-0206,Forest,17,28,21.050000190734853,79.0,8.5,10.0,0.07142857142857142,0.0,2
ANTI-0207,Forest,20,28,19.728571210588743,80.95714460100446,7.714285714285714,38.57142857142857,0.07142857142857142,0.0,2
CATO-0003,Forest,14,20,23.905000209808335,66.7,8.55,10.0,0.05,0.0,2
CATO-0004,Forest,11,18,24.000000211927613,70.23333231608075,8.444444444444445,10.0,0.05555555555555555,0.05555555555555555,2
CATO-0016,Forest,15,20,21.67999992370605,70.539998626709,7.0,10.0,0.05,0.0,2
CATO-0022,Forest,9,14,21.64999961853025,70.3500003814697,8.0,10.0,0.0,0.0,2
CATO-0035,Forest,16,21,19.97142809913269,71.24761962890625,6.0,10.0,0.09523809523809523,0.0,2
CATO-0037,Forest,16,21,18.666666666666668,73.33333079020183,6.0,10.0,0.047619047619047616,0.047619047619047616,2
CATO-0049,Forest,11,16,19.331249952316288,66.6937484741211,5.0,10.0,0.25,0.0,2
CATO-0062,Forest,16,26,19.400000205406762,66.2076908991887,5.0,10.0,0.11538461538461539,0.0,2
CATO-0084,Forest,16,27,18.5,72.24444495307074,6.0,10.0,0.037037037037037035,0.0,2
CATO-0086,Forest,14,23,18.32173911384914,73.69565449590267,6.0,10.0,0.17391304347826086,0.0,2
CATO-0092,Forest,14,21,19.257143020629872,74.12857382638113,6.0,10.0,0.09523809523809523,0.0,2
CATO-0094,Forest,13,27,19.540740825511826,70.35185128671152,6.592592592592593,10.0,0.14814814814814814,0.0,2
CATO-0098,Forest,13,20,19.434999752044696,74.85000152587891,7.0,10.0,0.0,0.0,2
CATO-0101,Forest,11,16,20.55000019073485,76.60000228881836,8.0,10.0,0.0,0.0,2
CATO-0104,Forest,10,16,18.043750047683712,73.98125219345093,7.0,10.0,0.1875,0.0,2
CATO-0150,Forest,10,17,20.5,84.75294090719784,7.0,10.0,0.058823529411764705,0.0,2
CATO-0153,Forest,11,14,19.399999891008616,74.84285736083984,7.0,10.0,0.0,0.0,2
CATO-0158,Forest,4,6,20.7000007629395,73.1999969482422,6.0,10.0,0.0,0.0,2
CATO-0160,Forest,8,13,21.930768819955652,72.27692237267128,6.230769230769231,10.0,0.07692307692307693,0.0,2
CATO-0176,Forest,14,19,22.221052772120416,76.45262908935548,6.631578947368421,10.0,0.05263157894736842,0.0,2
CATO-0206,Forest,10,18,18.849999533759195,84.07777531941733,6.0,10.0,0.1111111111111111,0.0,2
CATO-0211,Forest,9,14,19.77142933436807,77.81428527832031,5.0,10.0,0.0,0.0,2
CATO-0237,Forest,15,24,22.916666984558123,71.33333206176759,9.0,10.0,0.08333333333333333,0.0,2
CATO-0238,Forest,11,11,19.94545399058948,79.08181901411577,6.0,10.0,0.09090909090909091,0.0,2
CATO-0242,Forest,14,22,22.927273316816862,73.41817959872161,5.0,10.0,0.09090909090909091,0.0,2
CATO-0258,Forest,14,21,24.966666902814577,67.58571334112258,6.0,10.0,0.047619047619047616,0.0,2
CATO-0268,Forest,10,16,20.662500262260473,82.28750133514404,6.0,10.0,0.1875,0.0,2
CATO-0271,Forest,12,17,22.31764782176303,75.98235186408547,8.0,10.0,0.0,0.0,2
CATO-0275,Forest,12,22,23.777273264798257,73.68636512756345,7.0,10.0,0.09090909090909091,0.0,2
CATO-0280,Forest,6,13,24.346153992873006,79.71538485013522,8.461538461538462,10.0,0.23076923076923078,0.0,2
CATO-0294,Forest,11,19,22.68421102824964,73.6105274401213,8.0,10.0,0.0,0.0,2
CATO-0302,Forest,8,16,23.718749403953538,80.85000133514404,7.5625,10.0,0.1875,0.0,2
CATO-0303,Forest,7,11,21.272727099331952,85.04545593261717,8.0,10.0,0.18181818181818182,0.0,2
CATO-0311,Forest,16,22,20.345455169677756,87.01818223433061,7.0,10.0,0.045454545454545456,0.0,2
CATO-0313,Forest,10,13,20.415383852445114,90.26154151329625,7.3076923076923075,10.0,0.07692307692307693,0.0,2
CATO-0316,Forest,10,16,23.7937507629395,76.0937497615814,7.3125,10.3125,0.1875,0.0625,2
CATO-0323,Forest,7,10,19.2799995422363,89.51999969482422,7.4,10.0,0.2,0.0,2
CATO-0330,Forest,13,17,19.64117644814884,85.87058751723346,7.0,10.0,0.058823529411764705,0.0,2
CATO-0331,Forest,10,19,19.457894174676184,88.06315773411801,7.0,10.0,0.05263157894736842,0.0,2
CATO-0333,Forest,13,18,23.5999994277954,80.60000228881835,8.0,10.0,0.0,0.0,2
CATO-0342,Forest,14,22,21.900000225413915,68.14545579390091,7.590909090909091,10.0,0.0,0.045454545454545456,2
CATO-0346,Forest,12,19,21.210526516563004,62.83684298866674,6.0,10.0,0.05263157894736842,0.0,2
CATO-0347,Forest,14,24,20.9000005722046,64.39999961853025,6.0,10.0,0.041666666666666664,0.0,2
CATO-0359,Forest,12,21,19.533333278837624,67.34761882963635,7.380952380952381,10.0,0.19047619047619047,0.0,2
CATO-0365,Forest,4,5,19.43999938964842,77.77999877929689,7.6,10.0,0.4,0.0,2
CHOH-0002,Forest,22,34,18.48823524923886,84.29117696425494,6.0,10.0,0.0,0.08823529411764706,2
CHOH-0006,Forest,20,29,18.096551105893873,88.2344797068629,7.0,10.0,0.034482758620689655,0.0,2
CHOH-0008,Forest,20,26,18.023077304546625,89.60769447913536,6.576923076923077,10.0,0.0,0.07692307692307693,2
CHOH-0012,Forest,17,20,18.270000171661366,87.6150005340576,6.65,10.0,0.0,0.0,2
CHOH-0026,Forest,16,23,18.46956501836363,86.92173833432405,6.913043478260869,10.0,0.0,0.0,2
CHOH-0074,Forest,20,27,18.807407025937707,86.03703760217738,8.0,10.0,0.0,0.0,2
CHOH-0076,Forest,19,30,21.600000381469748,73.39999771118164,9.0,10.0,0.03333333333333333,0.0,2
CHOH-0081,Forest,15,19,18.831579107987288,83.11052543238591,8.052631578947368,10.0,0.05263157894736842,0.0,2
CHOH-0102,Forest,15,25,22.5800003051758,76.23999938964843,10.0,10.0,0.0,0.0,2
CHOH-0106,Forest,14,22,19.577273022044825,80.890906940807,7.2272727272727275,10.0,0.045454545454545456,0.0,2
CHOH-0196,Forest,15,26,18.6499996185303,83.45000076293945,6.5,10.0,0.0,0.0,2
CHOH-0198,Forest,14,23,18.130434782608695,83.58695685345194,6.217391304347826,10.0,0.0,0.0,2
CHOH-0239,Forest,11,25,17.21199966430662,65.72,6.0,10.0,0.0,0.0,2
CHOH-0253,Forest,15,27,17.066666497124576,75.48888821072049,7.555555555555555,10.555555555555555,0.037037037037037035,0.037037037037037035,2
CHOH-0256,Forest,13,22,19.52727231112392,85.83636266534978,7.7272727272727275,10.0,0.045454545454545456,0.0,2
CHOH-0262,Forest,22,33,18.881817615393427,80.915151422674,7.0,10.0,0.0,0.0,2
CHOH-0267,Forest,11,27,19.17037073771161,72.9999991522895,6.0,10.0,0.14814814814814814,0.0,2
CHOH-0281,Forest,14,21,17.828571592058445,74.81428636823382,9.142857142857142,10.0,0.09523809523809523,0.0,2
CHOH-0286,Forest,18,32,18.484374821186076,80.65624928474426,6.53125,10.0,0.03125,0.0,2
CHOH-0360,Forest,18,31,16.26774240309195,77.06774287069997,7.0,10.0,0.0,0.03225806451612903,2
CHOH-0380,Forest,22,33,19.872727307406336,80.14545440673828,8.0,10.0,0.030303030303030304,0.0,2
CHOH-0389,Forest,19,29,19.05172433524295,76.56896630648909,8.0,10.0,0.0,0.0,2
CHOH-0407,Forest,17,26,16.423076923076923,74.93077087402342,7.0,10.461538461538462,0.0,0.0,2
CHOH-0428,Forest,14,24,20.01666688919066,88.75000127156575,8.25,10.0,0.0,0.0,2
CHOH-0433,Forest,15,23,18.652174161828064,81.04347826086956,8.695652173913043,10.0,0.043478260869565216,0.0,2
CHOH-0443,Forest,9,11,18.9272721030495,86.16363386674362,7.181818181818182,10.0,0.0,0.09090909090909091,2
CHOH-0487,Forest,15,25,20.64799957275388,70.65600219726562,6.44,10.0,0.0,0.0,2
CHOH-0489,Forest,14,23,17.61739083994987,80.29565031632134,7.782608695652174,10.0,0.0,0.0,2
CHOH-0539,Forest,15,21,17.88571457635789,82.66666739327567,6.476190476190476,10.0,0.0,0.0,2
CHOH-0577,Forest,13,16,19.624999761581435,84.31249904632568,8.0,10.0,0.0625,0.0,2
CHOH-0586,Forest,18,31,16.97741920717302,87.30645407399822,7.612903225806452,10.0,0.03225806451612903,0.03225806451612903,2
CHOH-0609,Forest,14,22,18.5000004768372,85.79999923706055,7.5,10.0,0.045454545454545456,0.0,2
CHOH-0661,Forest,10,14,20.5,88.27143096923827,7.214285714285714,22.857142857142858,0.07142857142857142,0.0,2
CHOH-0666,Forest,19,24,19.799999713897723,85.39999771118165,6.0,10.0,0.0,0.0,2
CHOH-0677,Forest,16,27,18.8814809940479,87.12962736906829,8.481481481481481,10.0,0.0,0.0,2
CHOH-0679,Forest,16,24,18.99999976158144,83.87500095367432,7.375,10.0,0.0,0.08333333333333333,2
CHOH-0755,Forest,12,14,22.664286340986,90.17142650059291,8.928571428571429,10.0,0.0,0.0,2
CHOH-0795,Forest,22,31,20.319355195568495,78.59677419354838,5.645161290322581,10.0,0.0,0.03225806451612903,2
CHOH-0806,Forest,21,34,21.941176470588236,75.5529381247128,6.470588235294118,10.0,0.0,0.0,2
CHOH-0812,Forest,26,42,19.014286041259783,73.64285605294364,6.428571428571429,10.0,0.0,0.0,2
CHOH-0832,Forest,20,31,19.36451659664034,80.60967648413873,7.0,10.0,0.03225806451612903,0.0,2
CHOH-0847,Forest,18,30,20.4266670227051,80.67333170572917,7.466666666666667,10.0,0.06666666666666667,0.0,2
CHOH-0856,Forest,19,29,20.99310421121536,77.83448107489224,8.0,10.0,0.0,0.0,2
CHOH-0932,Forest,11,18,17.644445207383946,73.23333485921223,6.555555555555555,10.0,0.05555555555555555,0.0,2
CHOH-0941,Forest,16,24,18.258332729339582,75.94999758402507,7.583333333333333,10.0,0.041666666666666664,0.041666666666666664,2
CHOH-0942,Forest,16,23,18.243478277455207,74.41739123800527,8.0,10.0,0.0,0.0,2
CHOH-0961,Forest,16,21,17.7142854418073,72.22857230050224,7.857142857142857,10.0,0.0,0.0,2
CHOH-0983,Forest,16,27,19.200000551011836,77.57777913411458,6.0,10.0,0.0,0.037037037037037035,2
CHOH-0986,Forest,17,34,18.776470633114087,75.64117656034581,6.0,10.0,0.0,0.0,2
CHOH-0989,Forest,9,15,18.76666590372717,77.01999918619792,6.533333333333333,10.0,0.0,0.0,2
CHOH-1018,Forest,14,26,18.338461068960306,85.03846271221454,7.384615384615385,10.0,0.07692307692307693,0.0,2
CHOH-1028,Forest,15,21,17.676190330868685,78.66666739327567,7.238095238095238,10.0,0.0,0.0,2
CHOH-1036,Forest,14,23,17.565217225447956,77.77391151759936,6.869565217391305,10.0,0.0,0.043478260869565216,2
CHOH-1044,Forest,16,29,17.01379289298218,78.14827281031117,5.9655172413793105,10.0,0.034482758620689655,0.0,2
CHOH-1045,Forest,16,19,18.11052643625359,79.08421165064762,6.631578947368421,10.0,0.10526315789473684,0.0,2
CHOH-1055,Forest,14,20,17.769999790191665,83.864998626709,6.9,10.0,0.0,0.05,2
CHOH-1063,Forest,15,23,18.082608927851123,83.57826332423997,7.173913043478261,10.0,0.0,0.0,2
CHOH-1081,Forest,19,38,19.61578891151829,74.65789473684211,5.947368421052632,10.0,0.0,0.0,2
CHOH-1111,Forest,19,30,19.0799995422363,80.35999908447266,7.6,10.0,0.06666666666666667,0.0,2
CHOH-1124,Forest,13,22,18.55000019073485,81.15000152587889,7.5,10.0,0.13636363636363635,0.0,2
CHOH-1136,Forest,14,18,20.0499992370605,79.95000076293944,8.5,10.0,0.05555555555555555,0.0,2
CHOH-1143,Forest,18,27,20.16666687859428,80.42222001817491,8.555555555555555,10.0,0.07407407407407407,0.0,2
CHOH-1148,Forest,16,32,21.843750119209325,76.21249866485596,9.4375,10.0,0.0,0.0,2
CHOH-1183,Forest,14,20,22.649999618530252,72.3499984741211,7.5,10.0,0.0,0.0,2
CHOH-1186,Forest,18,28,22.7285717555455,78.11428397042411,7.0,10.0,0.0,0.0,2
CHOH-1191,Forest,14,24,22.69999980926515,73.29999923706055,8.0,10.0,0.0,0.0,2
CHOH-1196,Forest,9,23,22.70869586778722,74.80434716266134,8.0,10.0,0.0,0.0,2
CHOH-1197,Forest,13,25,22.596000213623082,75.60400085449218,6.0,10.0,0.0,0.0,2
CHOH-1201,Forest,11,22,22.28181804310191,75.01363580877131,6.0,10.0,0.0,0.0,2
CHOH-1211,Forest,13,16,23.13750064373019,73.18125104904175,9.0,10.0,0.0,0.0,2
CHOH-1217,Forest,16,28,20.757143020629872,77.68571472167969,6.0,10.0,0.0,0.0,2
CHOH-1223,Forest,12,20,20.270000171661366,78.95999946594239,6.0,10.0,0.0,0.0,2
CHOH-1226,Forest,16,25,20.732000045776363,78.71200134277343,7.0,10.0,0.0,0.0,2
CHOH-1235,Forest,15,27,20.7999992370605,80.73333401150174,7.0,10.0,0.0,0.0,2
CHOH-1241,Forest,11,22,20.845454649491735,80.08181832053445,7.0,10.0,0.0,0.0,2
CHOH-1256,Forest,15,20,21.279999732971174,83.64500007629394,8.0,10.0,0.0,0.05,2
CHOH-1319,Forest,18,27,23.003702940764203,81.81851761429398,8.592592592592593,10.0,0.0,0.07407407407407407,2
CHOH-1328,Forest,14,26,24.76153769859896,75.32307844895583,9.0,10.0,0.038461538461538464,0.0,2
CHOH-1336,Forest,15,33,23.603030464865935,78.26666883988814,6.0,10.0,0.0,0.21212121212121213,2
CHOH-1342,Forest,15,21,23.457142239525187,77.91428629557292,5.0,10.0,0.0,0.0,2
CHOH-1343,Forest,11,19,22.768420671161877,80.14210309480366,6.0,10.0,0.0,0.0,2
CHOH-1350,Forest,14,22,23.21818195689809,78.99545669555663,6.0,10.0,0.0,0.0,2
CHOH-1388,Forest,9,15,20.739999643961564,81.73333638509114,6.0,10.0,0.0,0.2,2
GWMP-0008,Forest,12,23,21.869565217391305,76.27826325789741,5.0,10.0,0.13043478260869565,0.0,2
GWMP-0019,Forest,7,11,21.90909125588159,82.00909077037464,6.0,10.545454545454545,0.09090909090909091,0.0,2
GWMP-0040,Forest,7,10,22.940000152587878,82.93999938964843,6.4,10.0,0.0,0.1,2
GWMP-0045,Forest,12,19,23.889473664133174,86.87894720780223,8.0,10.0,0.05263157894736842,0.0,2
GWMP-0054,Forest,12,20,22.28999996185306,82.84000167846679,7.3,10.0,0.1,0.0,2
GWMP-0055,Forest,13,15,24.800000762939497,85.99333190917969,8.466666666666667,10.0,0.0,0.0,2
GWMP-0057,Forest,13,21,24.299999872843433,83.56666564941406,8.666666666666666,10.0,0.047619047619047616,0.047619047619047616,2
GWMP-0058,Forest,13,19,23.984209763376292,84.52105271188836,8.0,10.0,0.0,0.0,2
GWMP-0059,Forest,19,28,23.571428571428573,81.07142775399345,7.0,10.0,0.0,0.03571428571428571,2
GWMP-0062,Forest,13,21,23.114286331903386,81.04761904761905,7.0,10.0,0.0,0.047619047619047616,2
GWMP-0072,Forest,12,21,24.44285656156993,78.55237869989305,6.0,10.0,0.0,0.0,2
GWMP-0080,Forest,11,15,24.38666661580403,78.04666442871094,5.533333333333333,10.0,0.0,0.0,2
GWMP-0086,Forest,13,23,23.313043594360387,83.6391306338103,7.565217391304348,10.0,0.043478260869565216,0.0,2
GWMP-0094,Forest,20,32,22.3999996185303,84.07499766349794,7.0,10.0,0.0,0.0,2
GWMP-0120,Forest,14,21,25.100000381469766,75.66666666666667,8.666666666666666,10.0,0.0,0.047619047619047616,2
GWMP-0129,Forest,9,17,22.67058810065774,82.02352815515854,8.588235294117647,10.0,0.0,0.0,2
GWMP-0139,Forest,10,17,22.282352784100667,83.01764634076287,7.529411764705882,10.0,0.0,0.0,2
GWMP-0145,Forest,8,11,23.3181816447865,82.83636197176848,8.545454545454545,10.0,0.0,0.0,2
GWMP-0173,Forest,9,18,21.977778540717278,84.05555386013457,6.0,10.0,0.0,0.0,2
GWMP-0200,Forest,8,12,24.75,77.0999984741211,7.5,10.0,0.0,0.25,2
GWMP-0207,Forest,9,18,23.844444592793774,77.12222035725912,6.0,10.0,0.0,0.05555555555555555,2
GWMP-0208,Forest,13,20,24.3999996185303,80.75,6.0,10.0,0.0,0.05,2
